,count,mean,std,min,25%,50%,75%,max
SYN Flag Count,7647.0,0.0017000130770236693,0.04119884700775418,0.0,0.0,0.0,0.0,1.0
RST Flag Count,7647.0,0.0506080816006277,0.21921037293898477,0.0,0.0,0.0,0.0,1.0
ACK Flag Count,7647.0,0.3866875899045377,0.4870229104290671,0.0,0.0,0.0,1.0,1.0
URG Flag Count,7647.0,0.14790113770105923,0.3550251735077882,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,7647.0,0.0575389041454165,0.2328846732062649,0.0,0.0,0.0,0.0,1.0
Down/Up Ratio,7647.0,0.3282332941022623,0.6865676620442537,0.0,0.0,0.0,0.0,8.0
Average Packet Size,7647.0,193.60748594076546,245.2584384225421,0.0,0.0,42.25,432.0,2208.0
Avg Fwd Segment Size,7647.0,138.08470536102388,177.88085619396782,0.0,0.0,29.0,349.5,1472.0
Avg Bwd Segment Size,7647.0,31.116385813420184,124.47544123626173,0.0,0.0,0.0,0.0,1796.9230769230774
Subflow Fwd Packets,7647.0,4.28887145285733,10.06023503328881,1.0,2.0,2.0,4.0,606.0
Subflow Fwd Bytes,7647.0,644.352295017654,1572.1095268757485,0.0,0.0,64.0,802.0,41470.0
Subflow Bwd Packets,7647.0,1.8723682489865308,12.598289639171771,0.0,0.0,0.0,2.0,817.0
Subflow Bwd Bytes,7647.0,852.4791421472473,18887.575617667502,0.0,0.0,0.0,0.0,1468048.0
Init_Win_bytes_forward,7647.0,4288.2054400418465,9580.97387261159,-1.0,-1.0,253.0,5840.0,65535.0
Init_Win_bytes_backward,7647.0,885.646004969269,5391.628524850213,-1.0,-1.0,-1.0,-1.0,63948.0
act_data_pkt_fwd,7647.0,1.710736236432588,3.7306681679997364,0.0,0.0,1.0,2.0,88.0
min_seg_size_forward,7647.0,-15286899.024715574,126546853.89644998,-1062718975.0,20.0,20.0,20.0,408.0
Active Mean,7647.0,20824.510929849035,266165.15175343,0.0,0.0,0.0,0.0,10610243.0
Active Std,7647.0,5702.59897383288,93821.2029162347,0.0,0.0,0.0,0.0,3652905.853435111
Active Max,7647.0,27763.451680397542,313191.9891005605,0.0,0.0,0.0,0.0,10610243.0
Active Min,7647.0,17295.594481496013,255939.8727386636,0.0,0.0,0.0,0.0,10610243.0
Idle Mean,7647.0,1443771.580282245,6291373.117861038,0.0,0.0,0.0,0.0,59051496.5
Idle Std,7647.0,221620.22034873426,1508722.8886304335,0.0,0.0,0.0,0.0,35990344.99046346
Idle Max,7647.0,1744954.3881260625,7365784.857999565,0.0,0.0,0.0,0.0,67328878.0
Idle Min,7647.0,1230148.7848829606,5775359.934280252,0.0,0.0,0.0,0.0,58957640.0
